Cargo	IdCargo	IdTipo	IdTipo2	CargoOK
Sdo.Pend.Fact.Vta.NÂº A6017-00012422 Cuota 1/1	Variables	Varios	Equipos	 Sdo.Pend.Fact.Vta.Nº A6017-00012422 Cuota 1/1
smartphone promo  6 of 24              installment id: 280000064529229 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
smartphone promo  6 of 24              installment id: 280000064529236 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
smartphone promo  6 of 24              installment id: 280000064529242 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
smartphone promo  6 of 24              installment id: 280000064529248 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
smartphone promo  6 of 24              installment id: 280000064529250 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
smartphone promo  6 of 24              installment id: 280000064529255 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
smartphone promo  6 of 24              installment id: 280000064529258 activity since last bill amount	Variables	Varios	Equipos	 Smartphone Promo
PE07C SMS Roaming Suecia	Variables	Internacional	Roaming SMS	 SMS Roaming Suecia
CN75C SMS Roaming Suecia	Variables	Internacional	Roaming SMS	 SMS Roaming Suecia
BC04C SMS Roaming Suecia	Variables	Internacional	Roaming SMS	 SMS Roaming Suecia
 VPN + 3GB	Fijos	Varios	Otros	 VPN + 3GB
CredAdjust&OthChar Messages Backup & Sync	Variables	Servicios	Otros	"Messages Backup & Sync"
(M) 10% 12 meses TMM	Variables	Varios	Variables	(M) 10% 12 meses TMM
**OC Device Financing Rate	Variables	Varios	Equipos	**OC Device Financing Rate
*66266 Prima	Variables	Servicios	Otros	*66266 Prima
0300 BRASIL TELECOM SERVICOS 0300	Variables	Excedente	Voz Red	0300 Brasil Telecom
0300 BRASIL TELECOM 0300 BRASIL TELECOM	Variables	Excedente	Voz Red	0300 Brasil Telecom
0300 BRASIL TELECOM 0300 EMBRATEL	Variables	Excedente	Voz Red	0300 BRASIL TELECOM 0300 EMBRATEL
0300 EMBRATEL 0300 EMBRATEL	Variables	Excedente	Voz Red	0300 Embratel
0300 Embratel	Variables	Excedente	Voz Red	0300 Embratel
0300 OI 0300 EMBRATEL	Variables	Excedente	Voz Red	0300 Embratel
0300 EMBRATEL SERVICOS 0300	Variables	Excedente	Voz Red	0300 EMBRATEL SERVICOS
GOL LINHAS AEREAS SERVICOS 0300	Variables	Excedente	Voz Red	0300 Gol Linhas Aereas Servicios
0300 OI SERVICOS 0300	Variables	Servicios	Otros	0300 OI SERVICOS 0300
SMCRPLDI307D_G2 0300 TELEFONICA	Variables	Excedente	Voz Red	0300 Telefonica
UUTARIFA UNICA NACIONAL - 0300 Para Celulares Vivo	Variables	Excedente	Voz Red	0300 Telefonica
SMCRPLDI6014D_G2 0300 TELEFONICA	Variables	Excedente	Voz Red	0300 Telefonica
0300 TELEFONICA 0300 EMBRATEL	Variables	Excedente	Voz Red	0300 Telefonica
TARIFA UNICA NACIONAL - 0300 SERVICOS 0300	Variables	Excedente	Voz Red	0300 Telefonica
0300 TELEFONICA 0300 TELEFONICA	Variables	Excedente	Voz Red	0300 Telefonica
0300 TELEFONICA ADICIONAL	Variables	Excedente	Voz Red	0300 Telefonica
0300 TELEFONICA	Variables	Excedente	Voz Red	0300 Telefonica
SMCRPNAC50002D_G2 0300 TELEFONICA	Variables	Excedente	Voz Red	0300 Telefonica
SMCRPNAC50002D_G 0300 TELEFONICA	Variables	Excedente	Voz Red	0300 Telefonica
0300 TELEFONICA SERVICOS 0300	Variables	Excedente	Voz Red	0300 Telefonica
0300 TELEFONICA Para Celulares Vivo	Variables	Excedente	Voz Red	0300 TELEFONICA Para Celulares Vivo
0300 TELEMAR 0300 - TELEMAR - ROA	Variables	Excedente	Voz Aire	0300 TELEMAR 0300 - TELEMAR - ROA
0900 CALCULO S.A.	Variables	Servicios	Otros	0900 CALCULO S.A.
0900 CALCULO S.A. 3?	Variables	Servicios	Otros	0900 CALCULO S.A. 3?
0900 DONACION	Variables	Servicios	Otros	0900 DONACION
BONIF.0900 DONACION	Variables	Servicios	Otros	0900 DONACION
0900 DONACION TERCEROS	Variables	Servicios	Otros	0900 DONACION TERCEROS
Consumos Adicionales Nacionales-1 Consultas a buzÃ³n x86	Variables	Servicios	Otros	1 Consultas a buzón x86
1 Consultas a buzón x86	Variables	Servicios	Otros	1 Consultas a buzón x86
Consumos Adicionales Nacionales-1 Consultas a buzón x86	Variables	Servicios	Otros	1 Consultas a buzón x86
1 de junio internet por di­a en mayo $179 + movistar cloud - movistar cloud 30gb -	Variables	Varios	Otros	1 de junio internet por di­a en mayo $179 + movistar cloud - movistar cloud 30gb -
1 dÃ­a de CompensaciÃ³n por falla de servicio el 26 de Agosto	Variables	Servicios	Otros	1 dia de Compensación por falla de servicio
1 GB de Datos Libres Adic.	Fijos	Datos	Smartphone	1 GB de Datos Libres Adic.
CN94R 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
PC75R 1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
BC24C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
BC26C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
PC44C 1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
PC45C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
A020C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
BC05R 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
PE71R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet
CN84C Proporcional 1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
A021C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
PC23R 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
A014C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
BC73C 1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
BC77C 1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
PC95R 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
PC96C 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet
1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
Proporcional 1 GB Internet	Fijos	Datos	Smartphone	1 GB Internet
1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet
1 GB Internet x 1 día	Variables	Datos	Datos Excedentes	1 GB Internet x 1 día
1 GB Internet x 1 día 	Variables	Datos	Datos Excedentes	1 GB Internet x 1 día 
1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE70R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE71R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE82R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC84R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC97C 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC97C Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC64R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC92R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC74R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC94R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC74R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC94R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC64R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC73R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC74R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC74R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC70R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC70R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC72R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN83R 1 GB Internet	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC24R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC52R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC52R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC24R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC55R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC63R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC62R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN83R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC73R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC35R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC32R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN94R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC05R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN83R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC35R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC43R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC42R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC42R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC43R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC23R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC22R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC22R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC21R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN84C 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN84C Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE03R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC12R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC04R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC04R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC02R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE03R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE83R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE82R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE71R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE81R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE93C Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN73R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PE70R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC02R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN90R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN90R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN94C Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
CN73R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC03R Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC14R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC14C Promoción 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
PC04R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PE82R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
CN73R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PC03R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PC02R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PE81R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PC14R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
CN90R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
BC05R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PC32R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
CN94R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PE70R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PE83R 1 GB Internet x 30 días	Variables	Datos	Datos Excedentes	1 GB Internet x 30 días
PC53R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 dias
PC55R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
BC06C Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC74R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC42R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE82R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN90R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN90R Promoción 2 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN94C 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN94R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN90R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN73R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC72R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
BC64R Promoción 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC53R 1 GB Internet x 3 días	Variables	Datos	Datos Excedentes	1 GB Internet x 3 días
BC24R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC42R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
BC05R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC63R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC62R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC55R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC52R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC73R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC32R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN83R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
BC70R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC72R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC93R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
BC74R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
BC64R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC73R 1 GB Internet x?7 d?as	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE93C 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC02R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE71R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE93R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE81R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN73R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC14R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE03R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC22R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC23R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC04R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
CN84C 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PC03R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE70R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
PE82R 1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
1 GB Internet x 7 días	Variables	Datos	Datos Excedentes	1 GB Internet x 7 días
1 GB Renovación Datos Promo F.	Variables	Datos	Datos Excedentes	1 GB Renovación Datos Promo F.
1 GB x Internet 30 días	Fijos	Datos	Smartphone	1 GB x Internet 30 días
1 Month Free	Fijos	Varios	Otros	1 Month Free
1,5 Gigas Incluidos	Fijos	Datos	Smartphone	1,5 Gigas Incluidos
Bonif.1,5 Gigas Incluidos	Fijos	Datos	Smartphone	1,5 Gigas Incluidos
10 GB Internet móvil	Fijos	Varios	Todo Incluido	10 GB Internet
10GB Internet	Fijos	Varios	Todo Incluido	10 GB Internet
10 GB Internet	Fijos	Varios	Todo Incluido	10 GB Internet
PE71R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
CN83R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
PC56R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
BC05R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
BC24R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
PC52R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
PC73R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
BC74R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
PC93R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
BC70R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
BC64R 10 GB Internet Noche x 1 día	Variables	Datos	Datos Excedentes	10 GB Internet Noche x 1 día
10 GB Internet x 15 días	Variables	Datos	Datos Excedentes	10 GB Internet x 15 días
A023C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC43R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC55R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC52R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC62R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC65R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC35R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC23R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PE03R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
A025C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
BC05R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC24R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC45R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
BC24R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
CN83R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC56R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC82R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC25C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
CN92C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
CN94R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC04R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC02R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PE71R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PE82R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PE94R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PE93R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
CN73R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC05R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PE70R 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
CN84C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
A004C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC16C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
PC15C 10 GB Internet x 30 días	Variables	Datos	Datos Excedentes	10 GB Internet x 30 días
