CargoOK	IdCargo	IdTipo	IdTipo2
Prip! Base 100 Empresas Stop	Fijos	Voz	Nacional
Prip! Base Empresas Stop	Fijos	Voz	Nacional
Prip! Especial 800	Fijos	Voz	Nacional
Prip! Smart 200 E	Fijos	Varios	Todo Incluido
Prip! Smart 200 E Stop	Fijos	Varios	Todo Incluido
Prip! Smart Ejecutivo	Fijos	Varios	Todo Incluido
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Protección GSM Medium Empresas	Fijos	Varios	Otros
Protección Medium Emp Exento	Fijos	Varios	Otros
Red Privada Nacional	Fijos	Varios	Otros
Red Privada Virtual Claro	Fijos	Varios	Otros
Respaldo Agenda	Fijos	Varios	Otros
Restricción de datos	Fijos	Varios	Perfiles
Restricción de ID GSM	Fijos	Varios	Perfiles
Restricción de MT y MO	Fijos	Varios	Perfiles
Restricción Ident. de Llamadas	Fijos	Varios	Perfiles
Abono Roaming 300Mb Mundial	Fijos	Datos	Internacional
Pack Roaming 70 min Zona 3 y 4	Fijos	Voz	Internacional
Servicio Stop Personal	Fijos	Varios	Perfiles
Servicio de Datos	Fijos	Datos	Smartphone
Factura Digital	Fijos	Varios	Otros
Servicio Mi Numero Personal	Fijos	Varios	Perfiles
Servicios y otros cargos	Fijos	Varios	Otros
SERVICO GLOBAL	Fijos	Varios	Otros
Soporte MDM	Fijos	Varios	MDM
Tareas de Administración Movistar	Fijos	Varios	Otros
TCL96 500 Minutos	Fijos	Voz	Nacional
Wireless Empresas APN Dedicado	Fijos	Varios	Otros
Wireless Empresas APN Genérico	Fijos	Varios	Otros
Wireless EmpresasAPN Ilimit MD	Fijos	Varios	Otros
WVPN (APN Dedicado)	Fijos	Varios	Otros
WVPN TEMPRESAS GENERICO	Fijos	Varios	Otros
PLAN INTERNET MOVIL ILIMITADO	Fijos	Datos	BAM
PLAN INTERNET MOVIL ILIMITADO	Fijos	Datos	BAM
Cargo Fijo Datos Roaming 7mb	Fijos	Datos	Internacional
Cargo Fijo Servicio Vpn Empresas	Fijos	Datos	Smartphone
Internet En El Movil Tecnologico 5gb	Fijos	Datos	Smartphone
Red Privada Virtual Claro	Fijos	Varios	Otros
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Abono Roaming 30% desc. Zona 3 y 4	Fijos	Voz	Internacional
Abono Roaming 30% desc. Zona 3 y 4	Fijos	Voz	Internacional
Servicio Stop Personal	Fijos	Varios	Perfiles
Servicio Stop Personal	Fijos	Varios	Perfiles
Facturación Electrónica	Fijos	Varios	Otros
Facturación Electrónica	Fijos	Varios	Otros
Bolsa Internet Movil Pro 3GB	Fijos	Datos	Smartphone
Cargo Fijo Plan 861 SGO	Fijos	Voz	Nacional
Bolsa Internet Movil Plus	Fijos	Datos	Smartphone
Serv. Cargo Fijo Plan de Datos	Fijos	Datos	Smartphone
Bolsa Intrared Retencion	Fijos	Varios	Otros
Red Privada Virtual Claro	Fijos	Varios	Otros
PTC02 n/a Minutos	Fijos	Voz	Nacional
Abono Roaming 15% desc. Zona 5	Fijos	Voz	Internacional
Abono Roaming 60 Min Mundial	Fijos	Voz	Internacional
Abono Roaming 60 Min Zona 1	Fijos	Voz	Internacional
Pack Roaming 70 Min Zona 3 y 4	Fijos	Voz	Internacional
Abono Roaming 50% desc. Zona 5	Fijos	Datos	Internacional
Abono Roaming 50% desc. Zona 2 y 6	Fijos	Datos	Internacional
Abono Roaming 50% desc. Zona 3 y 4	Fijos	Datos	Internacional
Gastos Administrativos	Fijos	Varios	Otros
Red Privada Nacional	Fijos	Varios	Otros
Abono Roaming 300Mb Mundial	Fijos	Datos	Internacional
Pack 100 SMS Libres	Fijos	Varios	Nacional SMS
Plan Comunidad Empresas 4 GB	Fijos	Varios	Todo Incluido
Gastos Administrativos	Fijos	Varios	Otros
Detalle electrónico	Fijos	Varios	Otros
Garantía Cta y Orden Assurant	Fijos	Varios	Garantias
Paquete Basico GSM Cuenta Segura	Fijos	Varios	Otros
Plan Negocios 200 Min RCM CL	Fijos	Voz	Nacional
Plan Comunidad Negocios 1 GB	Fijos	Varios	Todo Incluido
Plan Negocios 200 Min RCM CL	Fijos	Voz	Nacional
Soporte MDM	Fijos	Varios	MDM
Gestion Remota de Dispositivos	Fijos	Varios	MDM
Plan Comunidad Empresas 1 GB	Fijos	Varios	Todo Incluido
Pack 100 SMS Libres	Fijos	Varios	Nacional SMS
Pack 250 SMS Libres	Fijos	Varios	Nacional SMS
Pack 250 SMS Libres	Fijos	Varios	Nacional SMS
110 SMS Multidestino	Fijos	Varios	Nacional SMS
Plan Comunidad Empresas 4 GB	Fijos	Varios	Todo Incluido
Cargos Fijos de Servicios de Valor Agregado	Fijos	Varios	Otros
Pack Internet Móvil 5 GB	Fijos	Datos	Smartphone
Proporcional Pack Internet Móvil 5 GB	Fijos	Datos	Smartphone
SERVICIO DE ACCESO A INTERNET - Internet 4G	Fijos	Datos	Smartphone
TARIFA BASICA - Mensualidad Acceso a Internet 4G	Fijos	Datos	Smartphone
Abono Roaming 15% desc. Zona 3 y 4	Fijos	Voz	Internacional
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Servicio Telefonia GSM	Fijos	Varios	Otros
Servicio Telefonia GSM	Fijos	Varios	Otros
Detalle de llamadas	Fijos	Varios	Otros
Assinatura	Fijos	Varios	Otros
Banda Larga 3G 1 Mbps	Fijos	Datos	Smartphone
Gestor Online - Controle Completo	Fijos	Varios	Otros
Serviço Tarifa Zero	Fijos	Varios	Otros
Pacote Ilimitado Internet 2GB	Fijos	Datos	Smartphone
Gastos Administrativos	Fijos	Varios	Otros
PAQUETE INTERNET	Fijos	Datos	Smartphone
PAQUETE INTERNET	Fijos	Datos	Smartphone
INTERNET 3 GB	Fijos	Datos	Smartphone
INTERNET 3 GB	Fijos	Datos	Smartphone
INTERNET 10 GB	Fijos	Datos	Smartphone
INTERNET 10 GB	Fijos	Datos	Smartphone
Internet  Movistar Ilimitado	Fijos	Datos	Smartphone
Internet ilimitado NEG (IEM)	Fijos	Datos	Smartphone
Internet  Movistar Ilimitado	Fijos	Datos	Smartphone
Abono	Fijos	Voz	Nacional
Internet  Movistar Ilimitado	Fijos	Datos	BAM
Plan BlackBerry Profesional BIS	Fijos	Datos	Blackberry
Cargo desbloqueo Gama Bronce o Cob	Fijos	Varios	Garantias
Garantía	Fijos	Varios	Garantias
160 SMS Multidestino	Fijos	Varios	Nacional SMS
INTERNET MOVEL 10GB EMP 4G	Fijos	Datos	Smartphone
Pacote Ilimitado Internet 2GB	Fijos	Datos	Smartphone
Plano Internet Corp Ilimitado 3GB	Fijos	Datos	Smartphone
Plano Internet 3GB	Fijos	Datos	Smartphone
PLANO BASICO INTERNET	Fijos	Datos	Smartphone
PLANO BASICO INTERNET	Fijos	Datos	Smartphone
INTERNET MOVEL 3GB EMPRESA	Fijos	Datos	Smartphone
INTERNET MOVEL 3GB EMP 4G	Fijos	Datos	Smartphone
INTERNET MOVEL 20GB EMP 4G	Fijos	Datos	Smartphone
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Servicio básico iPhone	Fijos	Varios	Otros
Facturación Electrónica	Fijos	Varios	Otros
Refacturación Abono Mensual	Fijos	Varios	Otros
Números Gratis 10 Líneas	Fijos	Varios	Otros
Plan Comunidad Empresas 5 GB	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 5 GB	Fijos	Varios	Todo Incluido
Contestador  Personal  Fax	Fijos	Varios	Otros
Abono Roaming 50% desc. Zona 5	Fijos	Datos	Internacional
Abono Roaming 50% desc. Zona 3 y 4	Fijos	Datos	Internacional
Abono Roaming 30% desc. Zona 3 y 4	Fijos	Voz	Internacional
VIVO AVISA	Fijos	Varios	Otros
CONTA DET MENSAL	Fijos	Varios	Otros
CONTA SEMIDETALHADA	Fijos	Varios	Otros
PACOTE 100 SMS	Fijos	Varios	Nacional SMS
PACOTE 100 SMS	Fijos	Varios	Nacional SMS
SERVICO GESTAO	Fijos	Varios	Otros
SMS COMPARTILHADO PJ DEP	Fijos	Varios	Nacional SMS
Assinatura Plano Sob Medida	Fijos	Varios	Otros
Consumo Compartilhado	Fijos	Varios	Otros
Mercado Claro	Fijos	Varios	Otros
VIVO AVISA	Fijos	Varios	Otros
PE70R - 1GB - Control	Fijos	Varios	Todo Incluido
VIVO AVISA EMPR GRATIS	Fijos	Varios	Otros
PAC LD 01	Fijos	Voz	Nacional
PAC LD 01	Fijos	Voz	Nacional
PAC 100 MIN FLEX COMP	Fijos	Voz	Nacional
PAC 200 MIN FLEX COMP	Fijos	Voz	Nacional
PAC 200 MIN FLEX IND	Fijos	Voz	Nacional
PAC 50 MIN FLEX COMP	Fijos	Voz	Nacional
PAC 500 MIN FLEX COMP	Fijos	Voz	Nacional
INTRAGRUPO ZERO LOCAL 2.000 RAIZ	Fijos	Voz	Nacional
PAC LD CORP ROAMING FLEX	Fijos	Voz	Internacional
VIVO EMPRESAS FLEX	Fijos	Voz	Nacional
VIVO EMPRESAS FLEX	Fijos	Voz	Nacional
VIVO EMPRESAS FLEX	Fijos	Voz	Nacional
PAC 100 MIN FLEX COMP	Fijos	Voz	Nacional
INTRAGRUPO ZERO LOCAL 2.000 RAIZ	Fijos	Voz	Nacional
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Plan Grupo Business Nacional 350	Fijos	Voz	Nacional
Personal Box	Fijos	Varios	Otros
Personal Box	Fijos	Varios	Otros
Conexión Directa Total	Fijos	Varios	Otros
Ajuste Pack SMS	Fijos	Varios	Otros
Plan Business Nacional 245 GC	Fijos	Voz	Nacional
Plan Business Nacional 245 GC	Fijos	Voz	Nacional
Pack 10 GB Internet	Fijos	Datos	BAM
Abono Control Negocios 500 MB	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 10 GB	Fijos	Varios	Todo Incluido
Plan Business Nacional 620 GC	Fijos	Voz	Nacional
Pack Internet Móvil 5 GB	Fijos	Datos	Smartphone
CCL09 plan de voz 500 minutos	Fijos	Voz	Nacional
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Plan Comunidad Empresas 2 GB	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 2 GB	Fijos	Varios	Todo Incluido
Proporcional Pack Internet Móvil 5 GB	Fijos	Datos	Smartphone
Plan Negocios 200 Min RCM CL	Fijos	Voz	Nacional
160 SMS Multidestino	Fijos	Varios	Nacional SMS
CCL02 Plan de Voz Libre	Fijos	Voz	Nacional
Proporcional Bonificación	Fijos	Varios	Otros
Plan Comunidad Negocios 5 GB	Fijos	Varios	Todo Incluido
Plan Internet Movil 5GB Emp	Fijos	Datos	BAM
Pack Internet Móvil 5 GB	Fijos	Datos	Smartphone
Abono Control Negocios 1 GB	Fijos	Varios	Todo Incluido
Prip! Smart Ejecutivo Stop	Fijos	Varios	Todo Incluido
Plan Comunidad Negocios 8 GB	Fijos	Varios	Todo Incluido
Plan Comunidad Negocios	Fijos	Varios	Todo Incluido
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Assinatura	Fijos	Varios	Otros
Assinatura Plano Sob Medida	Fijos	Varios	Otros
Gestor Online - Controle Completo	Fijos	Varios	Otros
Serviço Tarifa Zero	Fijos	Varios	Otros
Banda Larga 3G 1 Mbps	Fijos	Datos	Smartphone
Pacote Ilimitado Internet 2GB	Fijos	Datos	Smartphone
Pacote Ilimitado Internet 2GB	Fijos	Datos	Smartphone
CCL10 150 Minutos	Fijos	Voz	Nacional
OFM21 - Plan de Voz Fijo-Movil	Fijos	Voz	Nacional
Abono Roaming 50% desc. Zona 2 y 6	Fijos	Voz	Internacional
Abono Roaming 50% desc. Zona 2, 6, 7 y 8	Fijos	Datos	Internacional
Gestion Remota de Dispositivos	Fijos	Varios	MDM
Abono Roaming 30% desc. Zona 2 y 6	Fijos	Voz	Internacional
Abono Roaming 15% desc. Zona 2 y 6	Fijos	Voz	Internacional
Plan Internet 10GB	Fijos	Datos	BAM
Plan Internet 10GB	Fijos	Datos	BAM
Plan Internet Movil 10GB Emp	Fijos	Datos	BAM
Plan Empresas 0 Min RCM CLR	Fijos	Voz	Nacional
Plan Comunidad Empresas 4 GB	Fijos	Varios	Todo Incluido
Abono Roaming 50% desc. Zona 2 y 6	Fijos	Voz	Internacional
Cargo Fijo - AX7	Fijos	Varios	Otros
Cargo Fijo - C9K	Fijos	Varios	Otros
Pack Llamadas Ilimitadas a Claro	Fijos	Voz	Nacional
BAM05 - Plan Internet móvil 3GB	Fijos	Datos	BAM
Bloqueo de Contenidos	Fijos	Varios	Perfiles
Bloqueo de Contenidos	Fijos	Varios	Perfiles
Plan Comunidad Empresas 1 GB	Fijos	Varios	Todo Incluido
Trafico de Datos Incluidos (Kb)	Fijos	Datos	Smartphone
Proporcional Pack Internet Móvil 5 GB	Fijos	Datos	Smartphone
Interflota Personal	Fijos	Varios	Otros
Restricción Ident. de Llamadas	Fijos	Varios	Perfiles
Plan Internet 5GB	Fijos	Datos	BAM
Abono 3G Ilimitado	Fijos	Datos	BAM
Llamadas Ent. Perm. y Restring	Fijos	Varios	Perfiles
Soporte MDM	Fijos	Varios	MDM
Gestion Remota de Dispositivos	Fijos	Varios	MDM
EMPRESAS 100 MIN RCM CLR	Fijos	Voz	Nacional
CCL02 Plan de Voz Libre	Fijos	Voz	Nacional
Proporcional Bonificación	Fijos	Varios	Otros
BAM06 - Plan Internet móvil 5GB	Fijos	Datos	BAM
Conexión Total Premium 2XL	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 10 GB	Fijos	Varios	Todo Incluido
Proporcional: Pack 10 GB Internet	Fijos	Datos	BAM
Pack Internet Movil 3 GB	Fijos	Datos	Smartphone
Plan Internet 5GB	Fijos	Datos	BAM
Conexión Total Libre M	Fijos	Datos	Smartphone
Negocios Conexión Total 2L	Fijos	Varios	Todo Incluido
Negocios Conexión Total 2L	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 1 GB	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 1 GB	Fijos	Varios	Todo Incluido
Plan Internet Movil 5GB Emp	Fijos	Datos	BAM
Plan Comunidad Empresas 8 GB	Fijos	Varios	Todo Incluido
Plan Comunidad Empresas 8 GB	Fijos	Varios	Todo Incluido
Plan Comunidad Negocios 10 GB	Fijos	Varios	Todo Incluido
Conexión Total Premium 4XL	Fijos	Varios	Todo Incluido
Plan Internet Movil 10GB Emp	Fijos	Datos	BAM
